label_name	head	relation	tail	response
reverse beeper	reverse beeper	belongs to class	truck	Yes.
dog growling	dog growling	emitted by	growling	Yes.
rapping	rapping	has parent	singing	Yes.
vibraphone	vibraphone	can be heard in	jazz club	Yes.
light engine (high frequency)	light engine (high frequency)	has subtype	sewing machine	Yes.
non-machinery impact	non-machinery impact	has subtype	glass break	Yes.
sneezing	sneezing	occurs in	truck interior	Yes.
bird chirping	bird chirping	occurs in	residential area	Yes.
human voice	human voice	has subtype	yawning	Yes.
vehicle compressor	vehicle compressor	belongs to class	road vehicle	Yes.
outdoor environment	outdoor environment	occurs in	farm	Yes.
sea lion barking	sea lion barking	belongs to class	wild animal	Yes.
music of bollywood	music of bollywood	event composed of	dholak	Yes.
speech	speech	localized in	conference room	Yes.
white or pink noise	white or pink noise	has subtype	pink noise	Yes.
birthday music	birthday music	has parent	music role	Yes.
vocal music	vocal music	has subtype	a capella	Yes.
road vehicle	road vehicle	has subtype	bus engine	Yes.
airplane	airplane	affects	air traffic congestion	Yes.
mandolin	mandolin	responds to	music performance	Yes.
airplane	airplane	warns about	emergency landing	Yes.
mouse	mouse	has parent	rodents rats mice	Yes.
police car siren ringing	police car siren ringing	occurs in	public square	Yes.
coyote howling	coyote howling	precedes	coyote mating	Yes.
speech	speech	localized in	lecture room	Yes.
owl hoot	owl hoot	generated by	owl species	Yes.
bird	bird	has children	bird squawk	Yes.
applause	applause	indicates	applause event	Yes.
latin america music	latin america music	has subtype	soca music	Yes.
djembe	djembe	associated with environment	music studio	Yes.
gasp	gasp	described by	a sudden, sharp intake of air through the nose	Yes.
source-ambiguous sounds	source-ambiguous sounds	has subtype	scrape	Yes.
lullaby	lullaby	follows	soothing tone	Yes.
crackle	crackle	originates from	radio	Yes.
animal	animal	has subtype	coyote howling	Yes.
source-ambiguous sounds	source-ambiguous sounds	has subtype	creak	Yes.
human sounds	human sounds	has subtype	digestive	Yes.
knock	knock	associated with event	opening door	Yes.
wind or woodwind instrument	wind or woodwind instrument	has subtype	soprano saxophone	Yes.
small/medium rotating saw	small/medium rotating saw	overlaps with	circular saw	Yes.
orchestra	orchestra	has duration	medium	Yes.
bus compressor	bus compressor	occurs in	residential area	Yes.
doorbell	doorbell	has pitch	high	Yes.
cello	cello	scene contains	music studio session	Yes.
bus wheel rolling	bus wheel rolling	belongs to class	road vehicle	Yes.
motorcycle engine	motorcycle engine	has subtype	motorcycle engine accelerating	Yes.
engine	engine	has subtype	light engine (high frequency)	Yes.
rain on surface	rain on surface	scene contains	rainy weather	Yes.
natural sounds	natural sounds	has children	waterfall	Yes.
shot football	shot football	occurs in	field	Yes.
trombone	trombone	occurs in	jazz club	Yes.
steelpan	steelpan	has subtype	steel drum pan set with bass and snare and tom	Yes.
clunk	clunk	associated with event	door slam	Yes.
horse snort	horse snort	emitted by	animal	Yes.
dog howling	dog howling	has sibling	dog	Yes.
ukulele	ukulele	can be heard in	outdoor cafe	Yes.
motorboat speedboat	motorboat speedboat	generated by	water	Yes.
tick-tock	tick-tock	belongs to class	clock tick	Yes.
bell	bell	occurs in	mosque	Yes.
melody	melody	has duration	short	Yes.
road vehicle	road vehicle	has subtype	vehicle horn	Yes.
yawning	yawning	described by	a deep breath followed by a low-pitched sound	Yes.
human activities	human activities	has subtype	skiing	Yes.
thump or thud	thump or thud	generated by	construction equipment	Yes.
cumbia music	cumbia music	generated by	musicians	Yes.
mandolin	mandolin	overlaps with	fiddle	Yes.
keypress tone	keypress tone	has parent	office sounds	Yes.
non-machinery impact	non-machinery impact	has subtype	object impact	Yes.
drum machine	drum machine	has parent	drum kit	Yes.
drilling	drilling	has children	jackhammer	Yes.
helicopter	helicopter	produces	landing	Yes.
police car siren ringing	police car siren ringing	occurs in	quiet street	Yes.
audio feedback	audio feedback	has parent	things	Yes.
harp	harp	occurs in	music show	Yes.
steelpan	steelpan	scene contains	musical instrument	Yes.
elephant trumpeting	elephant trumpeting	warns about	habitat destruction by human activities	Yes.
gear	gear	used for	bicycle	Yes.
steel guitar or slide guitar	steel guitar or slide guitar	has sibling	playing guitar	Yes.
vehicle	vehicle	associated with event	vehicle movement	Yes.
bus wheel rolling	bus wheel rolling	has timbre	metallic	Yes.
ferret dooking	ferret dooking	indicates	foraging	Yes.
human non-speech sounds	human non-speech sounds	has subtype	burping	Yes.
stir	stir	has sibling	liquid	Yes.
wood	wood	part of scene	musical instrument	Yes.
road vehicle	road vehicle	can be heard in	highway	Yes.
warbler chirping	warbler chirping	belongs to class	avian	Yes.
harp	harp	part of scene	concert	Yes.
rapping	rapping	is a type of	music	Yes.
clickety-clack	clickety-clack	generated by	typewriter	Yes.
saxophone	saxophone	precedes	wind family	Yes.
truck engine accelerating	truck engine accelerating	has parent	heavy engine (low frequency)	Yes.
chewing	chewing	belongs to class	human sounds	Yes.
farm animal	farm animal	has subtype	sheep	Yes.
non-machinery impact	non-machinery impact	has children	boom	Yes.
pizzicato	pizzicato	entails event	musical instrument type	Yes.
screech	screech	can be heard in	construction zone	Yes.
fox barking	fox barking	localized in	forest	Yes.
rapping	rapping	has subtype	hip hop	Yes.
car alarm ringing	car alarm ringing	occurs in	street	Yes.
cowbell	cowbell	belongs to class	musical instrument	Yes.
doorbell	doorbell	generated by	door	Yes.
afrobeat	afrobeat	affects	cultural identity	Yes.
sound effect	sound effect	belongs to class	source-ambiguous	Yes.
fire truck siren ringing	fire truck siren ringing	belongs to class	emergency vehicle	Yes.
kitchen sounds	kitchen sounds	scene contains	clinking silverware	Yes.
sound of things	sound of things	has subtype	firecracker	Yes.
television	television	localized in	sports bar	Yes.
motorcycle	motorcycle	belongs to class	road vehicle	Yes.
animal	animal	has subtype	cuckoo bird calling	Yes.
liquid dripping	liquid dripping	belongs to class	liquid	Yes.
light engine (high frequency)	light engine (high frequency)	has children	chainsaw	Yes.
kitchen sounds	kitchen sounds	scene contains	clattering pots	Yes.
ukulele	ukulele	precedes	strumming	Yes.
horse	horse	overlaps with	hoof beats	Yes.
artillery fire	artillery fire	has parent	explosion	Yes.
musical instrument	musical instrument	part of scene	music festival	Yes.
doorbell	doorbell	associated with environment	apartment building	Yes.
air conditioner	air conditioner	generated by	condenser	Yes.
music mood	music mood	occurs in	music festival	Yes.
bugle	bugle	is sound of	trumpet	Yes.
vibration	vibration	temporal component of	thrumming	Yes.
door slam	door slam	used for	indicating impatience	Yes.
organ	organ	perceived as	musical instrument	Yes.
vehicle	vehicle	has subtype	truck wheel rolling	Yes.
music mood	music mood	has children	sad music	Yes.
toilet flush	toilet flush	event composed of	water flow	Yes.
rumble	rumble	occurs in	earthquake	Yes.
hose pump	hose pump	has sibling	liquid	Yes.
liquid boiling	liquid boiling	belongs to class	liquid	Yes.
fireworks	fireworks	has parent	non-machinery impact	Yes.
speech babbling	speech babbling	has parent	human group actions	Yes.
lions or tigers roaring	lions or tigers roaring	has sibling	lions or tigers	Yes.
bell	bell	co-occurs with	church bell	Yes.
metro	metro	can be heard in	city center	Yes.
screaming	screaming	has children	female screaming	Yes.
screaming	screaming	belongs to class	human vocalization	Yes.
sound of things	sound of things	has subtype	squish	Yes.
ship	ship	produces	sailing noise	Yes.
office sounds	office sounds	occurs in	office	Yes.
cat	cat	associated with environment	park	Yes.
basketball bounce	basketball bounce	generated by	court	Yes.
applause	applause	precedes	applause end of game	Yes.
frog	frog	belongs to class	frog species	Yes.
ding-dong	ding-dong	is a type of	notification	Yes.
bell	bell	temporal component of	ringing	Yes.
knock	knock	associated with environment	apartment	Yes.
electric trimmer	electric trimmer	has sibling	bathroom sounds	Yes.
drum	drum	part of scene	music performance	Yes.
truck	truck	co-occurs with	construction equipment	Yes.
carnatic music	carnatic music	generated by	human	Yes.
brief tone	brief tone	has children	squeal	Yes.
crow	crow	belongs to class	animal	Yes.
human activities	human activities	has subtype	playing squash	Yes.
bell ringing	bell ringing	has subtype	jingle bell	Yes.
water drop	water drop	has parent	natural sounds	Yes.
clunk	clunk	is a type of	impact	Yes.
car passing by	car passing by	localized in	highway	Yes.
afrobeat	afrobeat	part of scene	cultural expression	Yes.
bicycle	bicycle	associated with environment	trail	Yes.
truck	truck	generated by	road	Yes.
road vehicle	road vehicle	has children	vehicle passing by	Yes.
telephone	telephone	has subtype	ringing	Yes.
washboard	washboard	belongs to class	music	Yes.
musical instrument	musical instrument	has subtype	wood block	Yes.
warbler chirping	warbler chirping	has timbre	chirping	Yes.
police radio chatter	police radio chatter	generated by	police communication system	Yes.
steelpan	steelpan	associated with environment	cultural event	Yes.
rain on surface	rain on surface	has subtype	precipitation	Yes.
drinking or sipping	drinking or sipping	has sibling	human non-speech sounds	Yes.
refrigerator	refrigerator	belongs to class	things	Yes.
mandolin	mandolin	belongs to class	music	Yes.
friction brake	friction brake	occurs in	vehicle transmission	Yes.
vehicle	vehicle	can be heard in	train station	Yes.
motorcycle engine idling	motorcycle engine idling	belongs to class	engine idling	Yes.
environmental noise	environmental noise	part of scene	construction site	Yes.
cattle or bovinae	cattle or bovinae	produces	mooing	Yes.
tap dancing	tap dancing	occurs in	bar nightclub	Yes.
crack	crack	occurs in	gunshot	Yes.
keyboard typing	keyboard typing	occurs in	office	Yes.
eating noodles	eating noodles	localized in	street food stall	Yes.
tambourine	tambourine	caused by	percussion	Yes.
electric shaver	electric shaver	has timbre	metallic	Yes.
didgeridoo	didgeridoo	follows	cultural expression	Yes.
footsteps	footsteps	occurs in	school	Yes.
race car	race car	produced during	motor sports	Yes.
singing	singing	precedes	singing end of performance end	Yes.
police car siren ringing	police car siren ringing	overlaps with	ambulance siren	Yes.
jackhammer	jackhammer	can be heard in	construction site	Yes.
hum	hum	associated with environment	train	Yes.
black capped chickadee calling	black capped chickadee calling	occurs in	forest	Yes.
crowd	crowd	triggers	cheering	Yes.
chatter	chatter	occurs in	park	Yes.
hammering	hammering	associated with event	construction project	Yes.
scissors	scissors	temporal component of	cutting ribbon	Yes.
guiro	guiro	perceived as	traditional musical instrument	Yes.
squishing water	squishing water	belongs to class	liquid	Yes.
printer	printer	occurs in	home	Yes.
brushing teeth	brushing teeth	has parent	bathroom sounds	Yes.
opera	opera	has subtype	opera performance duration	Yes.
train	train	part of scene	train depot area	Yes.
ska music	ska music	produced during	festivals	Yes.
acoustic guitar	acoustic guitar	overlaps with	guitar tuning	Yes.
ukulele	ukulele	scene contains	music instrument	Yes.
saxophone	saxophone	is instance of	musical instrument	Yes.
bird	bird	co-occurs with	chirping	Yes.
christmas music	christmas music	belongs to class	music role	Yes.
cumbia music	cumbia music	belongs to class	latin america music	Yes.
blowtorch	blowtorch	associated with event	burning metal	Yes.
hammering	hammering	has subtype	construction tool	Yes.
monologue	monologue	has sibling	talking	Yes.
lullaby	lullaby	scene contains	baby sleeping	Yes.
reverberation	reverberation	associated with event	room acoustics	Yes.
train	train	affects	traffic congestion	Yes.
car	car	generated by	brakes	Yes.
percussion	percussion	generated by	drum	Yes.
jackhammer	jackhammer	is a type of	power tool	Yes.
ship	ship	part of scene	ship refueling station	Yes.
gull seagull	gull seagull	belongs to class	seabird	Yes.
train	train	part of scene	depot	Yes.
sound of things	sound of things	has subtype	vehicle compressor	Yes.
lullaby	lullaby	emotionally associated with	calmness	Yes.
eating	eating	has subtype	eating crisps	Yes.
bass drum	bass drum	produced during	live concert	Yes.
washboard	washboard	has timbre	resonant	Yes.
keypress tone	keypress tone	occurs in	library	Yes.
echo	echo	is a type of	acoustic phenomenon	Yes.
chain	chain	has parent	things	Yes.
bathroom sounds	bathroom sounds	occurs in	home	Yes.
male singing	male singing	localized in	theater	Yes.
scissors	scissors	belongs to class	things	Yes.
singing	singing	co-occurs with	singing voice	Yes.
aircraft	aircraft	is instance of	airplane	Yes.
plucked string instrument	plucked string instrument	has children	acoustic guitar	Yes.
thunderstorm	thunderstorm	co-occurs with	thunder crash	Yes.
snowmobile	snowmobile	associated with event	snowmobiling trip	Yes.
tick-tock	tick-tock	described by	a regular sound made by a clock	Yes.
aircraft	aircraft	is a type of	airborne vehicle	Yes.
bird	bird	has children	parrot talking	Yes.
metro approaching	metro approaching	has sibling	metro	Yes.
laughing	laughing	co-occurs with	amusement	Yes.
dental drill	dental drill	can be heard in	dentist office	Yes.
motorcycle engine idling	motorcycle engine idling	belongs to class	things	Yes.
vehicle	vehicle	has subtype	train whistle	Yes.
human group actions	human group actions	has subtype	chatter	Yes.
lullaby	lullaby	described by	a	Yes.
electric guitar	electric guitar	precedes	recording studio session	Yes.
car engine accelerating	car engine accelerating	occurs in	busy street	Yes.
afrobeat	afrobeat	temporal component of	music	Yes.
vibration	vibration	warns about	tsunami	Yes.
thunderstorm	thunderstorm	has sibling	natural sounds	Yes.
throbbing	throbbing	belongs to class	channel environment and background	Yes.
cow	cow	overlaps with	calf birth	Yes.
bird chirping	bird chirping	has subtype	barn swallow calling	Yes.
roller coaster	roller coaster	belongs to class	vehicle	Yes.
heavy engine (low frequency)	heavy engine (low frequency)	belongs to class	vehicle	Yes.
crying	crying	produced during	grieving	Yes.
lions or tigers roaring	lions or tigers roaring	temporal component of	roaring	Yes.
crowd	crowd	has parent	human group actions	Yes.
techno	techno	overlaps with	dance party	Yes.
sound of things	sound of things	has subtype	skateboard	Yes.
electronic music	electronic music	belongs to class	music genre	Yes.
oboe	oboe	precedes	music performance	Yes.
bagpipes	bagpipes	described by	a type of music played in parades and festivals	Yes.
sonar	sonar	warns about	safety concern	Yes.
chatter	chatter	localized in	school	Yes.
outdoor rural or natural	outdoor rural or natural	transcribed as	babbling brook	Yes.
hi-hat	hi-hat	associated with environment	recording studio	Yes.
truck engine	truck engine	has subtype	truck engine accelerating	Yes.
chainsaw	chainsaw	belongs to class	things	Yes.
bus	bus	overlaps with	traffic noise	Yes.
mandolin	mandolin	occurs in	music festival	Yes.
hammering	hammering	co-occurs with	wood working	Yes.
caterwaul	caterwaul	described by	a bird call used to locate prey	Yes.
crash cymbal	crash cymbal	belongs to class	cymbal	Yes.
lip smacking	lip smacking	occurs in	train station	Yes.
bicycle	bicycle	can be heard in	bike path	Yes.
timpani	timpani	produced during	symphony concert	Yes.
banjo	banjo	has timbre	woody	Yes.
rumble	rumble	can be heard in	industrial area	Yes.
mosquito	mosquito	localized in	forest	Yes.
clang	clang	generated by	car engine	Yes.
ding-dong	ding-dong	overlaps with	church bell	Yes.
eruption	eruption	linked to visual	ash fall effects on environment	Yes.
electric trimmer	electric trimmer	belongs to class	domestic sounds	Yes.
music	music	has subtype	tender music	Yes.
specific impact sounds	specific impact sounds	belongs to class	object impact	Yes.
crackle	crackle	emitted by	radio	Yes.
ice cream truck	ice cream truck	triggers	festivals	Yes.
air conditioning	air conditioning	belongs to class	mechanisms	Yes.
rope skipping	rope skipping	belongs to class	human activities	Yes.
buzzer ringing	buzzer ringing	produced during	alarm clock	Yes.
music mood	music mood	localized in	music festival beach	Yes.
emergency vehicle	emergency vehicle	occurs in	residential area	Yes.
tapping	tapping	occurs in	maracas	Yes.
glockenspiel	glockenspiel	can be heard in	concert hall	Yes.
ukulele	ukulele	localized in	music festival	Yes.
electronic music	electronic music	has children	uk garage	Yes.
buzzer ringing	buzzer ringing	occurs in	office	Yes.
creak	creak	can be heard in	creaky chair	Yes.
large vehicle	large vehicle	co-occurs with	traffic congestion	Yes.
female screaming	female screaming	has parent	human voice	Yes.
snoring	snoring	belongs to class	breathing	Yes.
frying	frying	belongs to class	cooking	Yes.
object snapping	object snapping	belongs to class	non-machinery impact	Yes.
chinchilla barking	chinchilla barking	has parent	wild animal	Yes.
hammering	hammering	used for	carpentry	Yes.
clapping	clapping	has children	applause	Yes.
harmonica	harmonica	associated with environment	music studio session	Yes.
coin dropping	coin dropping	localized in	cabinet	Yes.
human sounds	human sounds	has subtype	female singing	Yes.
slot machine	slot machine	occurs in	shop	Yes.
trumpet	trumpet	produced during	concert	Yes.
mouse	mouse	has subtype	squeak	Yes.
percussion	percussion	has subtype	drum roll	Yes.
motorcycle engine	motorcycle engine	has sibling	motorcycle	Yes.
drilling	drilling	has parent	machinery impact	Yes.
animal	animal	has subtype	hen	Yes.
children music	children music	has duration	medium	Yes.
bongos	bongos	occurs in	music concert	Yes.
bird vocalization call or song	bird vocalization call or song	is a type of	animal	Yes.
timbales	timbales	generated by	musician	Yes.
crow caw	crow caw	caused by	bird call	Yes.
chord	chord	has sibling	musical concepts	Yes.
hi-hat	hi-hat	is a type of	drum	Yes.
flamenco music	flamenco music	belongs to class	latin america music	Yes.
swimming	swimming	belongs to class	human activities	Yes.
air conditioning	air conditioning	occurs in	train interior	Yes.
cooking	cooking	generated by	oven	Yes.
coin dropping	coin dropping	has sibling	domestic sounds	Yes.
breathing	breathing	has children	pant	Yes.
shouting	shouting	has duration	medium	Yes.
bus engine	bus engine	performed by	vehicle	Yes.
harpsichord	harpsichord	produced during	baroque period	Yes.
song	song	has parent	musical concepts	Yes.
drone	drone	has sibling	musical concepts	Yes.
liquid pouring	liquid pouring	belongs to class	liquid	Yes.
domestic sounds	domestic sounds	has subtype	keys jangling	Yes.
church bell ringing	church bell ringing	belongs to class	bell ringing	Yes.
baby crying	baby crying	has parent	crying	Yes.
harpsichord	harpsichord	can be heard in	concert hall	Yes.
announcement speech	announcement speech	occurs in	supermarket	Yes.
bluegrass music	bluegrass music	belongs to class	music	Yes.
rapping	rapping	occurs in	music venue stage platform	Yes.
drinking or sipping	drinking or sipping	occurs in	kitchen	Yes.
environmental noise	environmental noise	occurs in	busy street	Yes.
keyboard (musical)	keyboard (musical)	has subtype	rhodes piano	Yes.
throat cleaning	throat cleaning	occurs in	airport	Yes.
bugle	bugle	has sibling	brass instrument	Yes.
glockenspiel	glockenspiel	has parent	mallet percussion	Yes.
air brake	air brake	can be heard in	train yard	Yes.
microwave oven	microwave oven	produced during	cooking	Yes.
tools	tools	occurs in	outside	Yes.
crowd	crowd	associated with event	sporting event	Yes.
ukulele	ukulele	part of scene	music lesson	Yes.
fireworks	fireworks	caused by	explosion	Yes.
engine	engine	occurs in	home	Yes.
small/medium rotating saw	small/medium rotating saw	belongs to class	sawing	Yes.
flute	flute	can be heard in	music festival	Yes.
maraca	maraca	can be heard in	carnival	Yes.
laughing	laughing	can be heard in	party	Yes.
bowling balls	bowling balls	event composed of	ball return	Yes.
car brake	car brake	caused by	driver pressing brake	Yes.
video game music	video game music	belongs to class	music	Yes.
yodeling	yodeling	described by	a high-pitched vocalization often associated with folk music	Yes.
sound of things	sound of things	has subtype	window opens or closes	Yes.
whistle	whistle	event composed of	whistle	Yes.
female screaming	female screaming	perceived as	distressing	Yes.
race car	race car	occurs in	car interior	Yes.
rub	rub	is a type of	percussion instrument	Yes.
owl hoot	owl hoot	has sibling	owl	Yes.
tick-tock	tick-tock	event composed of	clock ticking	Yes.
field recording	field recording	has parent	recording	Yes.
urban music	urban music	is variant of	hip hop music	Yes.
canary calling	canary calling	belongs to class	bird chirping	Yes.
woodpecker	woodpecker	has subtype	percussive	Yes.
goose honking	goose honking	perceived as	warning	Yes.
whistling	whistling	localized in	beach	Yes.
pouring water	pouring water	has parent	water natural	Yes.
shot football	shot football	belongs to class	human activities	Yes.
foghorn ringing	foghorn ringing	belongs to class	things	Yes.
clatter	clatter	produced during	drilling	Yes.
human activities	human activities	has subtype	playing table tennis	Yes.
synthesizer	synthesizer	temporal component of	music production	Yes.
truck wheel rolling	truck wheel rolling	generated by	road	Yes.
water tap or faucet	water tap or faucet	belongs to class	water	Yes.
sitar	sitar	overlaps with	sitar tutorial	Yes.
percussion	percussion	is instance of	maracas	Yes.
water domestic	water domestic	occurs in	kitchen	Yes.
clavinet	clavinet	associated with environment	music festival	Yes.
electric train	electric train	has sibling	train	Yes.
musical instrument	musical instrument	has subtype	sitar	Yes.
music genre	music genre	has subtype	heavy metal	Yes.
rattle (instrument)	rattle (instrument)	has subtype	maraca	Yes.
bongos	bongos	associated with environment	nightclub	Yes.
footsteps	footsteps	has subtype	shuffle	Yes.
horse	horse	belongs to class	farm animal	Yes.
bird squawk	bird squawk	occurs in	park	Yes.
waterfall	waterfall	follows	waterfall thunderclap	Yes.
source-ambiguous sounds	source-ambiguous sounds	has children	cleaning	Yes.
jet engine	jet engine	belongs to class	vehicle engine	Yes.
yodeling	yodeling	has parent	singing	Yes.
harp	harp	responds to	music performance	Yes.
nose blowing	nose blowing	occurs in	home	Yes.
race car	race car	generated by	engine	Yes.
bagpipes	bagpipes	is instance of	musical instrument	Yes.
song	song	belongs to class	music	Yes.
stomp stamp	stomp stamp	has sibling	walking	Yes.
church bell ringing	church bell ringing	has subtype	bell ringing	Yes.
wildfire	wildfire	has subtype	wildland fire	Yes.
orchestra	orchestra	perceived as	live	Yes.
drone music	drone music	belongs to class	ambient music	Yes.
creak	creak	associated with event	opening a lid	Yes.
telephone	telephone	has subtype	telephone busy signal	Yes.
domestic sounds	domestic sounds	has subtype	door slam	Yes.
fire	fire	has subtype	wildfire	Yes.
bus	bus	used for	firefighting	Yes.
car crash	car crash	belongs to class	things	Yes.
drilling	drilling	has subtype	pneumatic	Yes.
ocean	ocean	has subtype	waves	Yes.
car horn	car horn	occurs in	car interior	Yes.
bagpipes	bagpipes	scene contains	traditional instrument	Yes.
fire	fire	warns about	fire alarm	Yes.
electronic dance music	electronic dance music	has sibling	electronic music	Yes.
broadband noise	broadband noise	overlaps with	rain noise	Yes.
rumble	rumble	part of scene	volcanic eruption	Yes.
fox barking	fox barking	event composed of	fox call	Yes.
tap dancing	tap dancing	transcribed as	rhythmic footwork	Yes.
light engine (high frequency)	light engine (high frequency)	has subtype	chainsaw	Yes.
clang	clang	temporal component of	ringing	Yes.
bird	bird	has subtype	wood thrush calling	Yes.
knock	knock	is sound of	footsteps	Yes.
baby babbling	baby babbling	occurs in	waterfront	Yes.
thunder	thunder	is a type of	lightning event	Yes.
motorcycle engine	motorcycle engine	occurs in	residential area	Yes.
tape hiss	tape hiss	has parent	background noise	Yes.
electric toothbrush	electric toothbrush	produced during	dental hygiene	Yes.
road vehicle	road vehicle	occurs in	pedestrian street	Yes.
pheasant crowing	pheasant crowing	produces	crowing	Yes.
djembe	djembe	responds to	traditional music	Yes.
ice cream truck	ice cream truck	associated with environment	amusement park	Yes.
scrape	scrape	has subtype	metal on metal	Yes.
water natural	water natural	has children	water gurgling	Yes.
train horn	train horn	has parent	train	Yes.
organ	organ	can be heard in	concert hall	Yes.
raindrop	raindrop	belongs to class	rain	Yes.
funk carioca music	funk carioca music	can be heard in	festival	Yes.
whir	whir	associated with event	electricity generator pump	Yes.
motorcycle brake	motorcycle brake	overlaps with	motorcycle skidding	Yes.
giggling	giggling	belongs to class	laughing	Yes.
warbler chirping	warbler chirping	belongs to class	wild animal	Yes.
musical instrument	musical instrument	has subtype	cello	Yes.
trombone	trombone	emitted by	orchestra	Yes.
ska music	ska music	localized in	concert	Yes.
road vehicle	road vehicle	belongs to class	vehicle	Yes.
telephone	telephone	described by	a device used for transmitting and receiving digital signals	Yes.
baby babbling	baby babbling	occurs in	city center	Yes.
playing guitar	playing guitar	has children	steel guitar or slide guitar	Yes.
aircraft engine	aircraft engine	has parent	aircraft	Yes.
djembe	djembe	performed by	drummer	Yes.
metro door opens or closes	metro door opens or closes	has parent	door opens or closes	Yes.
drum	drum	belongs to class	musical instrument	Yes.
rodents rats mice	rodents rats mice	is sound of	rats	Yes.
bang	bang	originates from	gunshot	Yes.
whale vocalization	whale vocalization	has sibling	wild animal	Yes.
sonar	sonar	precedes	underwater search mission	Yes.
music	music	has subtype	afrobeat	Yes.
fowl animal	fowl animal	has subtype	turkey gobble	Yes.
mouse click	mouse click	produced during	web browsing	Yes.
vibraphone	vibraphone	localized in	jazz club	Yes.
bird	bird	has subtype	pheasant crowing	Yes.
hammering	hammering	emitted by	hammerer	Yes.
insect buzz	insect buzz	occurs in	park	Yes.
police radio chatter	police radio chatter	occurs in	car interior	Yes.
magpie calling	magpie calling	belongs to class	bird	Yes.
coffee machine	coffee machine	produced during	drinking coffee	Yes.
ringtone	ringtone	occurs in	smartphone voice mail	Yes.
cuckoo bird calling	cuckoo bird calling	belongs to class	bird	Yes.
turkey	turkey	has sibling	fowl animal	Yes.
engine	engine	caused by	combustion	Yes.
sound of things	sound of things	has subtype	clunk	Yes.
small/medium rotating saw	small/medium rotating saw	overlaps with	table saw	Yes.
electronica	electronica	can be heard in	nightclub	Yes.
firecracker	firecracker	overlaps with	celebrations	Yes.
animal	animal	has subtype	mouse	Yes.
buzzer ringing	buzzer ringing	has pitch	high	Yes.
wheeze	wheeze	described by	a sound heard during breathing that may indicate respiratory distress	Yes.
insect	insect	is sound of	mosquitoes	Yes.
aircraft	aircraft	has parent	vehicle	Yes.
electronica	electronica	has parent	electronic music	Yes.
crow	crow	associated with environment	grassland	Yes.
scratch	scratch	has parent	surface contact	Yes.
door slam	door slam	associated with environment	house	Yes.
violin fiddle	violin fiddle	has subtype	fiddle	Yes.
domestic sounds	domestic sounds	has subtype	door domestic	Yes.
mouse pattering	mouse pattering	generated by	floor	Yes.
yelling	yelling	occurs in	street	Yes.
bowed string instrument	bowed string instrument	has timbre	resonant	Yes.
duck	duck	part of scene	bog	Yes.
crying	crying	has children	baby crying	Yes.
scissors	scissors	described by	a cutting tool with two sharp blades	Yes.
phone ringing	phone ringing	warns about	emergency alert	Yes.
electronica	electronica	has subtype	drum and bass music	Yes.
brass instrument	brass instrument	has children	trombone	Yes.
music role	music role	belongs to class	music	Yes.
music genre	music genre	has children	asia music	Yes.
mosquito	mosquito	can be heard in	forest	Yes.
kitchen sounds	kitchen sounds	part of scene	kitchen	Yes.
horse	horse	transcribed as	gallop	Yes.
bee or wasp	bee or wasp	has parent	insect buzz	Yes.
giggling	giggling	can be heard in	playground	Yes.
harmonica	harmonica	generated by	instrument	Yes.
washboard	washboard	is a type of	stringed instrument	Yes.
dog whimpering	dog whimpering	perceived as	distressing	Yes.
police car siren ringing	police car siren ringing	precedes	car moving	Yes.
gear	gear	belongs to class	mechanisms	Yes.
light engine (high frequency)	light engine (high frequency)	has parent	engine	Yes.
warbler chirping	warbler chirping	temporal component of	singing	Yes.
sniffing	sniffing	occurs in	vehicle interior	Yes.
speech	speech	warns about	warning signal	Yes.
door knock	door knock	occurs in	apartment	Yes.
fusillade	fusillade	has parent	non-machinery impact	Yes.
sniffing	sniffing	occurs in	living room	Yes.
djembe	djembe	localized in	music studio	Yes.
train	train	occurs in	station	Yes.
sound of things	sound of things	has subtype	iron forging	Yes.
human sounds	human sounds	has subtype	booing	Yes.
sitar	sitar	overlaps with	sitar practice	Yes.
tick-tock	tick-tock	is a type of	time	Yes.
dinosaurs bellowing	dinosaurs bellowing	has sibling	wild animal	Yes.
ratchet or pawl	ratchet or pawl	has parent	mechanisms	Yes.
banjo	banjo	is a type of	stringed instrument	Yes.
erhu	erhu	has timbre	expressive	Yes.
lullaby	lullaby	has subtype	calming	Yes.
explosion	explosion	has children	cap gun	Yes.
bird	bird	is a type of	bird species	Yes.
screaming	screaming	belongs to class	human non-speech sounds	Yes.
bluegrass music	bluegrass music	belongs to class	music genre	Yes.
glockenspiel	glockenspiel	scene contains	music instrument	Yes.
motorcycle wheel rolling	motorcycle wheel rolling	emitted by	motorcycle	Yes.
dishwasher	dishwasher	generated by	water	Yes.
cello	cello	perceived as	melodic	Yes.
channel environment and background	channel environment and background	has subtype	mains hum	Yes.
wild animal	wild animal	has subtype	mouse	Yes.
announcement jingle	announcement jingle	belongs to class	talking	Yes.
grind	grind	overlaps with	construction noise	Yes.
otter growling	otter growling	belongs to class	animal	Yes.
sound of things	sound of things	has subtype	cooking	Yes.
nose blowing	nose blowing	occurs in	car interior	Yes.
gear	gear	has sibling	mechanisms	Yes.
firing cannon	firing cannon	generated by	explosive	Yes.
snare drum	snare drum	can be heard in	sports stadium	Yes.
grunting	grunting	belongs to class	human sounds	Yes.
